v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
    12.400000                      54.143085          0.007397
    12.500000                      54.238661          0.007410
    12.600000                      54.334538          0.007423
    12.700000                      54.430717          0.007437
    12.800000                      54.527200          0.007450
    12.900000                      54.623989          0.007463
    13.000000                      54.721084          0.007476
    13.100000                      54.818488          0.007489
    13.200000                      54.916202          0.007503
    13.300000                      55.014228          0.007516
    13.400000                      55.112566          0.007530
    13.500000                      55.211219          0.007543
    13.600000                      55.310189          0.007557
    13.700000                      55.409476          0.007570
    13.800000                      55.509083          0.007584
    13.900000                      55.609011          0.007597
    14.000000                      55.709262          0.007611
    14.100000                      55.809837          0.007625
    14.200000                      55.910738          0.007639
    14.300000                      56.011967          0.007653
    14.400000                      56.113526          0.007666
    14.500000                      56.215415          0.007680
    14.600000                      56.317637          0.007694
    14.700000                      56.420194          0.007708
    14.800000                      56.523087          0.007722
    14.900000                      56.626318          0.007736
    15.000000                      56.729889          0.007751
    15.100000                      56.833802          0.007765
    15.200000                      56.938057          0.007779
    15.300000                      57.042658          0.007793
    15.400000                      57.147606          0.007808
    15.500000                      57.252903          0.007822
    15.600000                      57.358550          0.007837
    15.700000                      57.464549          0.007851
    15.800000                      57.570903          0.007866
    15.900000                      57.677613          0.007880
    16.000000                      57.784682          0.007895
    16.100000                      57.892110          0.007909
    16.200000                      57.999900          0.007924
    16.300000                      58.108054          0.007939
    16.400000                      58.216574          0.007954
    16.500000                      58.325462          0.007969
    16.600000                      58.434719          0.007984
    16.700000                      58.544348          0.007999
    16.800000                      58.654351          0.008014
    16.900000                      58.764730          0.008029
    17.000000                      58.875486          0.008044
    17.100000                      58.986623          0.008059
    17.200000                      59.098141          0.008074
    17.300000                      59.210044          0.008089
    17.400000                      59.322333          0.008105
    17.500000                      59.435010          0.008120
    17.600000                      59.548077          0.008136
    17.700000                      59.661537          0.008151
    17.800000                      59.775392          0.008167
    17.900000                      59.889644          0.008182
    18.000000                      60.004295          0.008198
    18.100000                      60.119347          0.008214
    18.200000                      60.234803          0.008229
    18.300000                      60.350665          0.008245
    18.400000                      60.466935          0.008261
    18.500000                      60.583616          0.008277
    18.600000                      60.700709          0.008293
    18.700000                      60.818218          0.008309
    18.800000                      60.936144          0.008325
    18.900000                      61.054489          0.008341
    19.000000                      61.173258          0.008358
    19.100000                      61.292450          0.008374
    19.200000                      61.412070          0.008390
    19.300000                      61.532120          0.008407
    19.400000                      61.652601          0.008423
    19.500000                      61.773517          0.008440
    19.600000                      61.894870          0.008456
    19.700000                      62.016662          0.008473
    19.800000                      62.138897          0.008490
    19.900000                      62.261576          0.008506
    20.000000                      62.384702          0.008523
    20.100000                      62.508279          0.008540
    20.200000                      62.632307          0.008557
    20.300000                      62.756791          0.008574
    20.400000                      62.881733          0.008591
    20.500000                      63.007135          0.008608
    20.600000                      63.133001          0.008625
    20.700000                      63.259333          0.008643
    20.800000                      63.386133          0.008660
    20.900000                      63.513405          0.008677
    21.000000                      63.641152          0.008695
    21.100000                      63.769375          0.008712
    21.200000                      63.898079          0.008730
    21.300000                      64.027266          0.008748
    21.400000                      64.156939          0.008765
    21.500000                      64.287100          0.008783
    21.600000                      64.417753          0.008801
    21.700000                      64.548902          0.008819
    21.800000                      64.680548          0.008837
    21.900000                      64.812695          0.008855
    22.000000                      64.945345          0.008873
    22.100000                      65.078503          0.008891
    22.200000                      65.212171          0.008909
    22.300000                      65.346353          0.008928
    22.400000                      65.481051          0.008946
    22.500000                      65.616268          0.008965
    22.600000                      65.752008          0.008983
    22.700000                      65.888275          0.009002
    22.800000                      66.025071          0.009021
    22.900000                      66.162400          0.009039
    23.000000                      66.300265          0.009058
    23.100000                      66.438670          0.009077
    23.200000                      66.577617          0.009096
    23.300000                      66.717111          0.009115
    23.400000                      66.857155          0.009134
    23.500000                      66.997752          0.009153
    23.600000                      67.138906          0.009173
    23.700000                      67.280621          0.009192
    23.800000                      67.422899          0.009212
    23.900000                      67.565745          0.009231
    24.000000                      67.709163          0.009251
    24.100000                      67.853155          0.009270
    24.200000                      67.997727          0.009290
    24.300000                      68.142880          0.009310
    24.400000                      68.288620          0.009330
    24.500000                      68.434951          0.009350
    24.600000                      68.581875          0.009370
    24.700000                      68.729397          0.009390
    24.800000                      68.877521          0.009410
    24.900000                      69.026251          0.009431
    25.000000                      69.175591          0.009451
    25.100000                      69.325545          0.009471
    25.200000                      69.476117          0.009492
    25.300000                      69.627311          0.009513
    25.400000                      69.779131          0.009533
    25.500000                      69.931582          0.009554
    25.600000                      70.084667          0.009575
    25.700000                      70.238392          0.009596
    25.800000                      70.392760          0.009617
    25.900000                      70.547776          0.009638
    26.000000                      70.703444          0.009660
    26.100000                      70.859768          0.009681
    26.200000                      71.016754          0.009703
    26.300000                      71.174405          0.009724
    26.400000                      71.332727          0.009746
    26.500000                      71.491723          0.009767
    26.600000                      71.651399          0.009789
    26.700000                      71.811759          0.009811
    26.800000                      71.972808          0.009833
    26.900000                      72.134552          0.009855
    27.000000                      72.296993          0.009877
    27.100000                      72.460139          0.009900
    27.200000                      72.623993          0.009922
    27.300000                      72.788560          0.009945
    27.400000                      72.953847          0.009967
    27.500000                      73.119857          0.009990
    27.600000                      73.286596          0.010013
    27.700000                      73.454069          0.010036
    27.800000                      73.622281          0.010059
    27.900000                      73.791238          0.010082
    28.000000                      73.960945          0.010105
    28.100000                      74.131408          0.010128
    28.200000                      74.302631          0.010151
    28.300000                      74.474621          0.010175
    28.400000                      74.647383          0.010199
    28.500000                      74.820923          0.010222
    28.600000                      74.995246          0.010246
    28.700000                      75.170359          0.010270
    28.800000                      75.346266          0.010294
    28.900000                      75.522975          0.010318
    29.000000                      75.700490          0.010342
    29.100000                      75.878818          0.010367
    29.200000                      76.057965          0.010391
    29.300000                      76.237937          0.010416
    29.400000                      76.418740          0.010441
    29.500000                      76.600381          0.010465
    29.600000                      76.782866          0.010490
    29.700000                      76.966201          0.010515
    29.800000                      77.150393          0.010541
    29.900000                      77.335448          0.010566
    30.000000                      77.521372          0.010591
    30.100000                      77.708174          0.010617
    30.200000                      77.895858          0.010642
    30.300000                      78.084433          0.010668
    30.400000                      78.273905          0.010694
    30.500000                      78.464280          0.010720
